ImageNumber,ObjectNumber,Intensity_IntegratedIntensityEdge_Spots_eroded,Intensity_IntegratedIntensity_Spots_eroded,Intensity_LowerQuartileIntensity_Spots_eroded,Intensity_MADIntensity_Spots_eroded,Intensity_MassDisplacement_Spots_eroded,Intensity_MaxIntensityEdge_Spots_eroded,Intensity_MaxIntensity_Spots_eroded,Intensity_MeanIntensityEdge_Spots_eroded,Intensity_MeanIntensity_Spots_eroded,Intensity_MedianIntensity_Spots_eroded,Intensity_MinIntensityEdge_Spots_eroded,Intensity_MinIntensity_Spots_eroded,Intensity_StdIntensityEdge_Spots_eroded,Intensity_StdIntensity_Spots_eroded,Intensity_UpperQuartileIntensity_Spots_eroded,Location_Center_X,Location_Center_Y,Number_Object_Number,Parent_Spots_Primary_Objects
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,1,0
1,2,0.0031128404662013054,0.13556115445680916,0.0,0.0,0.8311809732157154,0.0013427939265966415,0.04287785291671753,0.00013534088983483937,0.003567398801494978,0.0,0.0,0.0,0.00034478238742933543,0.008528872659950408,0.0035477225901558995,801.0263157894736,113.92105263157895,2,56
1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,3,0
1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,4,0
1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,5,0
1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,6,0
1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,7,0
1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,8,0
1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,9,0
1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,10,0
1,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,11,0
1,12,0.011261158157140017,0.024444953072816133,0.0006103608757257462,0.0017929350724443793,0.17181219612730153,0.0054016937501728535,0.005676356144249439,0.001407644769642502,0.002222268461165103,0.0019607843132689595,0.0,0.0,0.0016904963091032624,0.0020179314753229023,0.0041657129768282175,259.8181818181818,268.8181818181818,12,136
1,13,0.15094224456697702,2.1301442170515656,0.001018539711367339,0.0025253681233152747,1.8460752212311407,0.012939650565385818,0.04615854099392891,0.001085915428539403,0.005285717660177582,0.0032730601960793138,0.0,0.0,0.001703992140321924,0.00619882755467296,0.007236591191031039,197.35980148883374,275.5012406947891,13,139
1,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,14,0
1,15,0.5781948626972735,10.034271852811798,0.0019684138242155313,0.003776608034968376,1.7764685507270754,0.027496756985783577,0.05871671810746193,0.002676828068042933,0.007287052906907624,0.004875257611274719,0.0,0.0,0.004590818450984205,0.0075499304626374915,0.010559243615716696,781.4458968772694,285.7806826434277,15,128
1,16,0.10693522659130394,0.5696650717873126,0.0010070954449474812,0.0034485391806811094,1.124475114453788,0.014480811543762684,0.01504539605230093,0.0018437108032983438,0.004868932237498399,0.00379949645139277,0.0,0.0,0.0026441020723125676,0.004476997667523554,0.008293278748169541,179.77777777777777,293.2735042735043,16,186
1,17,0.08303959853947163,0.2568703785073012,0.0,0.001937895780429244,1.1875049495355736,0.005813687574118376,0.020309757441282272,0.0014317172161977866,0.003210879731341265,0.001937895780429244,0.0,0.0,0.0017202816803660614,0.004092417194819167,0.004776074085384607,148.65,291.9,17,192
1,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,18,0
1,19,0.00038147554732859135,0.05433737696148455,0.0,0.0,0.18510815459661062,0.0002594033721834421,0.016372930258512497,3.8147554732859135e-05,0.0033960860600927845,0.0,0.0,0.0,8.224315541359325e-05,0.005335259658376562,0.008163576945662498,99.0,317.5,19,227
